2012,1,23872000,11.5
2012,2, (D),(D)
2012,4, (D),(D)
2012,5,15600000,12
2012,6,17638972000,2.6
2012,8,23956000,10.4
2012,9,27349000,5.7
2012,10, (D),(D)
2012,12,1847805000,2.9
2012,13,308428000,1.7
2012,15,151821000,6.4
2012,16, (D),(D)
2012,17,19535000,9.2
2012,18,10897000,6.4
2012,19,3668000,8.9
2012,20,5808000,20.7
2012,21,7839000,13.5
2012,22, (D),(D)
2012,23,114657000,3.3
2012,24,20065000,7.4
2012,25,125585000,5.9
2012,26,257133000,7.5
2012,27,17974000,9.6
2012,28,23771000,12.5
2012,29,25749000,3.9
2012,30,3658000,7.7
2012,31,3157000,38.7
2012,32, (D),(D)
2012,33,10777000,4.7
2012,34,145351000,4.2
2012,35,110875000,2.7
2012,36,307644000,15.2
2012,37,85150000,5.6
2012,38,247000,21.4
2012,39,27215000,8.1
2012,40,41373000,6.3
2012,41,517166000,5.2
2012,42,160501000,10
2012,44,4131000,30.8
2012,45,65762000,20.2
2012,46,887000,13.5
2012,47, (D),(D)
2012,48,251647000,11.7
2012,49,31299000,7
2012,50,13494000,18
2012,51,65820000,3.8
2012,53,2931370000,10.1
2012,54,26772000,2.2
2012,55,219271000,3.6
2012,56,291000,53.2
2007,1,27610000,
2007,2,75000,
2007,4,97745000,
2007,5,13209000,
2007,6,11054581000,
2007,8,23192000,
2007,9,28641000,
2007,10, (D),
2007,12,2144718000,
2007,13,201504000,
2007,15,154315000,
2007,16,30036000,
2007,17,10246000,
2007,18,19193000,
2007,19,7371000,
2007,20,7293000,
2007,21,3088000,
2007,22,19358000,
2007,23,85183000,
2007,24,19393000,
2007,25,100623000,
2007,26,392472000,
2007,27,18517000,
2007,28,33498000,
2007,29,4315000,
2007,30,7877000,
2007,31,2594000,
2007,32, (D),
2007,33,12968000,
2007,34,147933000,
2007,35,105867000,
2007,36,363295000,
2007,37,79288000,
2007,38, (D),
2007,39,45419000,
2007,40,17543000,
2007,41,515582000,
2007,42,151101000,
2007,44,4483000,
2007,45,34481000,
2007,46,412000,
2007,47,2552000,
2007,48,219819000,
2007,49,17022000,
2007,50,15875000,
2007,51,68193000,
2007,53,2081031000,
2007,54,14206000,
2007,55,218248000,
2007,56, (D),
2002,1,20543000,
2002,2, (D),
2002,4, (D),
2002,5,12920000,
2002,6,8720660000,
2002,8,15735000,
2002,9,14721000,
2002,10,2496000,
2002,12,1611562000,
2002,13,122151000,
2002,15,179475000,
2002,16,17471000,
2002,17,18559000,
2002,18,15787000,
2002,19,4496000,
2002,20, (D),
2002,21,5941000,
2002,22, (D),
2002,23,33970000,
2002,24,12967000,
2002,25,55508000,
2002,26,181469000,
2002,27,12948000,
2002,28,14093000,
2002,29,22823000,
2002,30,5771000,
2002,31,1375000,
2002,32, (D),
2002,33,9321000,
2002,34,87148000,
2002,35,59061000,
2002,36,180540000,
2002,37,55756000,
2002,38, (D),
2002,39,34532000,
2002,40,11863000,
2002,41,277745000,
2002,42,109383000,
2002,44,2358000,
2002,45,40003000,
2002,46, (D),
2002,47,6363000,
2002,48,114822000,
2002,49,6162000,
2002,50,9270000,
2002,51,40954000,
2002,53,1354238000,
2002,54,11443000,
2002,55,107972000,
2002,56,87000,
1997,1,8273000,
1997,2,21000,
1997,4,121996000,
1997,5,9828000,
1997,6,7886855000,
1997,8,9881000,
1997,9,11882000,
1997,10,1995000,
1997,12,1506771000,
1997,13,109811000,
1997,15,174573000,
1997,16,26572000,
1997,17,14102000,
1997,18,12837000,
1997,19,3602000,
1997,20,1571000,
1997,21,2719000,
1997,22,6183000,
1997,23,48626000,
1997,24,12024000,
1997,25,162577000,
1997,26,249176000,
1997,27,8869000,
1997,28,4058000,
1997,29,13486000,
1997,30,1210000,
1997,31,562000,
1997,32,440000,
1997,33,10764000,
1997,34,89802000,
1997,35,44914000,
1997,36,193464000,
1997,37,30417000,
1997,38,86000,
1997,39,20565000,
1997,40,9496000,
1997,41,318114000,
1997,42,101543000,
1997,44,2001000,
1997,45,33478000,
1997,46,197000,
1997,47,5970000,
1997,48,92124000,
1997,49,11276000,
1997,50,10141000,
1997,51,34516000,
1997,53,1290500000,
1997,54,14141000,
1997,55,159356000,
1997,56,20000,
